,EQNR,DNB,NHY,NOKUSD
2016-08-26,0.4080113034276757,0.2323068016381702,0.23166022742704503,0.2213385992128834
2016-08-29,0.3972162060566932,0.23361949766375206,0.22332910751355525,0.2093319210025599
2016-08-30,0.3793418430646649,0.20839710954820045,0.23234835153585165,0.20518934566287772
2016-08-31,0.380988127454558,0.19525597150945204,0.24763946561124148,0.21024739249925725
2016-09-01,0.3721042306300417,0.19244027980798534,0.24227095580819633,0.21447276685366498
2016-09-02,0.35664855312703436,0.174997137728125,0.23274700059101625,0.20124216844212767
2016-09-05,0.35211163738820955,0.17477080672059755,0.232255179150395,0.2030089336273937
2016-09-06,0.33973616967868703,0.1697453877753657,0.22258041011109372,0.2042023069252827
2016-09-07,0.3451251685018113,0.1779654591576819,0.22730472679238628,0.2067886180699529
2016-09-08,0.308832095036446,0.12465926441385705,0.14936984932096503,0.21963837761099853
2016-09-09,0.291936211206412,0.013047596435300906,0.1615739030565274,0.2497887185580143
2016-09-12,0.2637129573503467,-0.025159640984420216,0.14121010173601387,0.22427128406709007
2016-09-13,0.28026835247068194,-0.021584730350578177,0.1453577606000804,0.2159822758346339
2016-09-14,0.297628649100182,-0.01682534017203193,0.1471335935593727,0.22373192415294743
2016-09-15,0.2777354635891013,-0.02812929024802051,0.14924052169413182,0.2173551876444759
2016-09-16,0.24554546913079764,-0.15018632810011015,0.09322870096553272,0.23356245322413413
2016-09-19,0.227326937624062,-0.19991104959582673,0.04661727795734223,0.17828345497009207
2016-09-20,0.20984126630427316,-0.214635906870142,0.027346861325282294,0.1958532390865141
2016-09-21,0.15510999773826145,-0.2370600920833147,0.00891834086632117,0.14458152648051453
2016-09-22,0.1867454337178703,-0.2167969318834948,0.021002230705285715,0.18049208102548328
2016-09-23,0.18237758691187556,-0.20654472743038158,0.004992737465967768,0.1089210160530388
2016-09-26,0.16077583454210587,-0.22766848764952433,-0.015356519820662416,0.11557259279600661
2016-09-27,0.1638989109766132,-0.29163498377386127,-0.0598492751148902,0.13848424443527882
2016-09-28,0.20613907664590433,-0.25849297661412407,-0.02685150718122757,0.16514831823181425
2016-09-29,0.3270324376439917,-0.1772590673663561,-0.0005645901040683858,0.16039011704955738
2016-09-30,0.33322608358902694,-0.17547768646197925,0.0002488484152538009,0.17122173381819683
2016-10-03,0.34362441143015676,-0.16603461083733967,0.023917247900396378,0.16463093771677006
2016-10-04,0.3507885924416806,0.07150397711841376,-0.02317545666135084,0.16161536256700118
2016-10-05,0.37784113277947234,0.05255438517231755,0.03378506591122457,0.19351992505501686
2016-10-06,0.3836575245847804,0.04345648054971283,0.03704756542092394,0.1880330054866683
2016-10-07,0.38396800111822343,0.046864124136135374,0.037173047698103735,0.19390973684359594
2016-10-10,0.3662713022617708,0.03724650125770981,0.038085887095781444,0.17831184113764673
2016-10-11,0.359650333310423,0.03745283172173778,0.028974198893106196,0.18316764996531135
2016-10-12,0.3603724787126648,0.04216937349479956,0.029790143276329565,0.21136773396645941
2016-10-13,0.3797367277185212,0.03948644961933708,0.12257097944366635,0.21185272678448983
2016-10-14,0.36560680869564066,0.02538298766741533,0.10853742609605652,0.21066333122346373
2016-10-17,0.3523071743196731,0.014470478774946692,0.10912785438311295,0.19728982400016531
2016-10-18,0.35056941010987724,0.014994062769583493,0.11028953741665667,0.19663283697679346
2016-10-19,0.34210778499434785,0.04055656316356494,0.1235664743974229,0.20153580865465842
2016-10-20,0.3240356894683203,-0.022674535008202063,0.1583916686901914,0.20348585539214034
2016-10-21,0.3207315632923691,-0.02550629384436826,0.15891050594688602,0.1942385799693946
2016-10-24,0.3202303998541781,-0.026175045142968745,0.13932827704631867,0.21459461620377973
2016-10-25,0.307503679381698,-0.030193501046544443,0.09977622674252701,0.20163020497653078
2016-10-26,0.31730656543734936,0.003922308164822279,0.12787956040467116,0.1874946202158107
2016-10-27,0.30395825972588403,0.00024167505012510847,0.11392606448657765,0.2008866190467343
2016-10-28,0.3016951868646586,-0.00221031196829867,0.10418416507574983,0.2029132184691541
2016-10-31,0.31993716554410656,-0.005170835015198427,0.04486028178247782,0.23869571299530296
2016-11-01,0.32489412704923876,8.490370014727503e-05,0.04793351981002644,0.24675555577394984
2016-11-02,0.34834732569639326,0.04348034919532004,0.06055254710675756,0.24263940021617006
2016-11-03,0.34873833875973453,0.05850436492432678,0.10923636252194299,0.14976135311561414
2016-11-04,0.3465438872209105,0.0766553425520646,0.13590752393413202,0.14346393365378554
2016-11-07,0.35645712777724986,0.06836723396973378,0.16406486637578857,0.1387956059678848
2016-11-08,0.34661973680650804,0.08310702492035742,0.1567213745481418,0.1418121634389747
2016-11-09,0.3690606531975043,0.11054185305701288,0.1845592453214767,0.13847420700083085
2016-11-10,0.3383140123761107,0.10382924859306161,0.15989180392087202,0.1537128439375745
2016-11-11,0.3311276429099037,0.10381804222810928,0.15484434592140292,0.15146001865230668
2016-11-14,0.32932049308528666,0.10815458821740682,0.10775723403582937,0.13442343968800882
2016-11-15,0.3826437531770267,0.08552452339510602,0.010469580859092121,0.08384668487486219
2016-11-16,0.3865005024951358,0.08989862113458508,0.023645276869969076,0.08081628030380081
2016-11-17,0.3903397518077658,0.09801452403384146,0.034167201217754274,0.08177640862358716
2016-11-18,0.38258023025946547,0.0992394261852248,0.03485696226246925,0.06868799918183187
2016-11-21,0.4238776325567524,0.08856895463547805,0.025474495557591067,0.02506441513077235
2016-11-22,0.43439744190580726,0.11392629883088291,0.024375617433048506,0.03466681598914377
2016-11-23,0.42164670271780774,0.134701344192096,-0.01099701619545395,0.0039771917455954636
2016-11-24,0.42705631473540007,0.13467801393811482,-0.012293754060242357,0.005301534927875492
2016-11-25,0.4437622280933507,0.14380556060458843,-0.003785428001346097,-0.012312214569957377
2016-11-28,0.4389273849441151,0.12648474538399282,-0.009008555568577424,-0.004850176156076424
2016-11-29,0.48000044936749753,0.14355163223710177,0.007254430533479577,-0.026955970174718798
2016-11-30,0.5425002142444223,0.21972644225149357,-0.0426803678168336,-0.02809012596148329
2016-12-01,0.5417444373518119,0.24927989866182915,0.005736102673717354,-0.030759239190967402
2016-12-02,0.428041225665963,0.2303133507980608,-0.09722667999064813,0.08892562467894774
2016-12-05,0.4316463052512655,0.2442010216283453,-0.08944798428632046,0.08782265579178969
2016-12-06,0.42484659198038555,0.2230600517697282,-0.09828401931562761,0.07234292557376543
2016-12-07,0.4144384849226929,0.20435787268732816,-0.12081543289955216,0.05773767807193638
2016-12-08,0.42863546416906456,0.22059796792007388,-0.0917698307199251,0.05834367269287229
2016-12-09,0.434731996886666,0.213945604168636,-0.0957043897459372,0.05401745072479234
2016-12-12,0.44027021104078995,0.21609744452309565,-0.10594740916757898,0.04140880642682527
2016-12-13,0.43984778646534467,0.21453453744298193,-0.1064351180646226,0.04136226788257015
2016-12-14,0.43586834089128934,0.2284113838373079,-0.07610835021390745,0.0415962650237637
2016-12-15,0.4304134903064797,0.21078672106881877,-0.08662051098001106,0.030248290302991962
2016-12-16,0.4384327382055059,0.2053393525370106,-0.06145023170723116,0.08347628195957779
2016-12-19,0.4658105952693261,0.24345283355854166,-0.04039465815751466,0.0735981440604797
2016-12-20,0.45065828485213616,0.239675908987312,-0.05061228915867796,0.07730557427192968
2016-12-21,0.46003454959596624,0.25724914802294463,-0.059546810951109336,0.07444198648477668
2016-12-22,0.4925191749571176,0.25621329156709943,-0.05725021387396466,0.06867114160849246
2016-12-23,0.49183769722938686,0.2550978261112207,-0.061079315801970485,0.06744190613296631
2016-12-26,0.49190811096238624,0.2556807203838027,-0.06061218825900669,0.06867307210406728
2016-12-27,0.4890152245772355,0.2089606174946279,-0.04885176346865261,0.058841844263564015
2016-12-28,0.48581373003728956,0.19583756833388535,-0.05177285039287383,0.06480472868023397
