,Oil,EQNR,DNB,NHY,NOKUSD
2016-09-07,-1.246489778842999,-1.2738000485430514,-1.3670817031825782,-1.1071822932004334,1.220119980501445
2016-09-08,-1.1324509904043742,-1.2762044682905163,-1.375731960683613,-1.1337326340180807,1.2169365618361137
2016-09-09,-1.2447877784401191,-1.3042600466920697,-1.3468977906246073,-1.173882099629722,1.2115808205711873
2016-09-12,-1.227199647369415,-1.319490658175565,-1.3690039466087354,-1.1800339002856,1.1298080182914918
2016-09-13,-1.2964172161445133,-1.3403319566530807,-1.3728487576277042,-1.1852143278833727,1.1608869834160418
2016-09-14,-1.3673367853224916,-1.3443400713987272,-1.3738097172574557,-1.1823002087090566,1.0927003357601337
2016-09-15,-1.3253523051402147,-1.356363905294845,-1.3776543986097627,-1.1881283490382075,1.1452029186855546
2016-09-16,-1.3718755252066206,-1.348347982008045,-1.380537860998995,-1.183595438132851,1.1461076179412752
2016-09-19,-1.3616630899306437,-1.3355226068173294,-1.3680428573123222,-1.1554263055841634,1.041335480686604
2016-09-20,-1.3656345684902627,-1.3459432560560873,-1.3718874738312985,-1.1554263055841634,1.0788100037531099
2016-09-21,-1.3117356526291293,-1.3403319566530807,-1.3603537539410315,-1.1366465571534345,1.0629705866251755
2016-09-22,-1.2652124325627234,-1.3210937407647607,-1.341130865846143,-1.1149533756847576,1.1264333464645973
2016-09-23,-1.3650673071657524,-1.3234986708530472,-1.34497554719845,-1.105887259815601,1.283541617647425
2016-09-26,-1.2822333023089176,-1.337125383202032,-1.362275867700527,-1.119810044936322,1.314554655914235
2016-09-27,-1.360528350852274,-1.357165446589443,-1.362275867700527,-1.1236954391492624,1.3098477393680579
2016-09-28,-1.206207515492951,-1.3467446952825206,-1.3574702267184684,-1.114305564933898,1.313674108081647
2016-09-29,-1.1750027319111613,-1.2770062137214429,-1.3247913753071558,-1.123371484764092,1.4232797936686497
2016-09-30,-1.185215167187138,-1.2778077550160407,-1.3440144579020368,-1.1350277654223941,1.3882328149975443
2016-10-03,-1.1829459054597482,-1.2770062137214429,-1.337286184493836,-1.129199625093243,1.4638966127070454
2016-10-04,-1.0825237695322092,-1.2649822777571607,-1.301723935526622,-1.1347041050956672,1.489233413796549
2016-10-05,-1.0263553755143366,-1.252958239724714,-1.2805786743389145,-1.1266094603040973,1.4443822628159746
2016-10-06,-0.9894773293993976,-1.248148685752634,-1.278656495746088,-1.1227239680716758,1.4252106020369193
2016-10-07,-1.0223838969547179,-1.252958239724714,-1.279617649875832,-1.1220765493987408,1.3740161124076484
2016-10-10,-1.0223838969547179,-1.2232991704613074,-1.2700060437450607,-1.0955263066005747,1.3283496877110603
