,Actual,Fitted
2016-06-03,49.63999938964844,54.04725386363043
2016-06-06,50.54999923706055,54.073408576087786
2016-06-07,51.439998626708984,54.08212681357418
2016-06-08,52.5099983215332,54.09084505105966
2016-06-09,51.95000076293945,54.09956328854605
2016-06-10,50.540000915527344,54.10828152603244
2016-06-13,50.349998474121094,54.1344362384898
2016-06-14,49.83000183105469,54.14315447597619
2016-06-15,48.970001220703125,54.15187271346167
2016-06-16,47.189998626708984,54.16059095094806
2016-06-17,49.16999816894531,54.169309188433544
2016-06-20,50.650001525878906,54.19546390089181
2016-06-21,50.619998931884766,54.2041821383782
2016-06-22,49.880001068115234,54.21290037586368
2016-06-23,50.90999984741211,54.221618613350074
2016-06-24,48.40999984741211,54.230336850835556
2016-06-27,47.15999984741211,54.25649156329382
2016-06-28,48.58000183105469,54.26520980078021
2016-06-29,50.61000061035156,54.273928038265694
2016-06-30,49.68000030517578,54.282646275752086
2016-07-01,49.84000015258789,54.29136451323757
2016-07-04,49.84000015258789,54.31751922569583
2016-07-05,47.959999084472656,54.326237463182224
2016-07-06,48.79999923706055,54.334955700667706
2016-07-07,46.400001525878906,54.3436739381541
2016-07-08,46.7599983215332,54.35239217563958
2016-07-11,46.25,54.378546888097844
2016-07-12,48.470001220703125,54.387265125584236
2016-07-13,46.2599983215332,54.39598336306972
2016-07-14,47.369998931884766,54.40470160055611
2016-07-15,47.61000061035156,54.41341983804159
2016-07-18,46.959999084472656,54.439574550499856
2016-07-19,46.65999984741211,54.44829278798534
2016-07-20,47.16999816894531,54.45701102547173
2016-07-21,46.20000076293945,54.46572926295812
2016-07-22,45.689998626708984,54.4744475004436
2016-07-25,44.720001220703125,54.50060221290187
2016-07-26,44.869998931884766,54.50932045038735
2016-07-27,43.470001220703125,54.51803868787374
2016-07-28,42.70000076293945,54.52675692536013
2016-07-29,42.459999084472656,54.535475162845614
2016-08-01,42.45000076293945,54.56162987530388
2016-08-02,41.79999923706055,54.57034811278936
2016-08-03,43.099998474121094,54.57906635027575
2016-08-04,44.290000915527344,54.587784587761234
2016-08-05,44.27000045776367,54.596502825247626
2016-08-08,45.38999938964844,54.62265753770589
2016-08-09,44.97999954223633,54.63137577519137
2016-08-10,44.04999923706055,54.640094012677764
2016-08-11,46.040000915527344,54.648812250163246
2016-08-12,46.970001220703125,54.65753048764964
2016-08-15,48.349998474121094,54.6836852001079
2016-08-16,49.22999954223633,54.692403437593384
2016-08-17,49.849998474121094,54.701121675079776
2016-08-18,50.88999938964844,54.70983991256526
2016-08-19,50.880001068115234,54.71855815005165
2016-08-22,49.15999984741211,54.744712862509914
2016-08-23,49.959999084472656,54.753431099995396
2016-08-24,49.04999923706055,54.76214933748179
2016-08-25,49.66999816894531,54.77086757496727
2016-08-26,49.91999816894531,54.77958581245366
2016-08-29,49.2599983215332,54.805740524911926
2016-08-30,48.369998931884766,54.81445876239741
2016-08-31,47.040000915527344,54.8231769998838
2016-09-01,47.04999923706055,54.83189523736928
2016-09-02,46.83000183105469,54.84061347485567
2016-09-05,46.83000183105469,54.86676818731394
2016-09-06,47.2599983215332,54.87548642479942
2016-09-07,47.97999954223633,54.88420466228581
2016-09-08,49.9900016784668,54.89292289977129
2016-09-09,48.0099983215332,54.901641137257684
2016-09-12,48.31999969482422,54.92779584971504
2016-09-13,47.099998474121094,54.93651408720143
2016-09-14,45.849998474121094,54.94523232468782
2016-09-15,46.59000015258789,54.953950562173304
2016-09-16,45.77000045776367,54.962668799659696
2016-09-19,45.95000076293945,54.98882351211705
2016-09-20,45.880001068115234,54.99754174960344
2016-09-21,46.83000183105469,55.006259987089834
2016-09-22,47.650001525878906,55.014978224575316
2016-09-23,45.88999938964844,55.02369646206171
2016-09-26,47.349998474121094,55.04985117451906
2016-09-27,45.970001220703125,55.058569412005454
2016-09-28,48.689998626708984,55.067287649490936
2016-09-29,49.2400016784668,55.07600588697733
2016-09-30,49.060001373291016,55.08472412446372
2016-10-03,49.099998474121094,55.110878836921074
2016-10-04,50.869998931884766,55.119597074407466
2016-10-05,51.86000061035156,55.12831531189295
2016-10-06,52.5099983215332,55.13703354937934
2016-10-07,51.93000030517578,55.14575178686573
2016-10-10,51.93000030517578,55.171906499323086
2016-10-11,52.40999984741211,55.18062473680948
2016-10-12,51.810001373291016,55.18934297429496
2016-10-13,52.029998779296875,55.19806121178135
2016-10-14,51.95000076293945,55.20677944926774
2016-10-17,51.52000045776367,55.2329341617251
2016-10-18,51.68000030517578,55.24165239921149
2016-10-19,52.66999816894531,55.25037063669697
2016-10-20,51.380001068115234,55.25908887418336
2016-10-21,51.779998779296875,55.267807111668844
2016-10-24,51.459999084472656,55.29396182412711
2016-10-25,50.790000915527344,55.3026800616135
2016-10-26,49.97999954223633,55.31139829909898
2016-10-27,50.470001220703125,55.320116536585374
2016-10-28,49.709999084472656,55.328834774070856
2016-10-31,48.29999923706055,55.35498948652912
2016-11-01,48.33000183105469,55.36370772401551
2016-11-02,46.86000061035156,55.372425961500994
2016-11-03,46.349998474121094,55.381144198987386
2016-11-04,45.58000183105469,55.38986243647287
2016-11-07,46.150001525878906,55.41601714893113
2016-11-08,46.040000915527344,55.424735386417524
2016-11-09,46.36000061035156,55.433453623903006
2016-11-10,45.84000015258789,55.4421718613894
2016-11-11,45.84000015258789,55.45089009887488
2016-11-14,44.43000030517578,55.477044811333144
2016-11-15,46.95000076293945,55.485763048819535
2016-11-16,46.630001068115234,55.49448128630502
2016-11-17,46.4900016784668,55.50319952379141
2016-11-18,46.86000061035156,55.51191776127689
2016-11-21,48.900001525878906,55.538072473735156
2016-11-22,49.119998931884766,55.54679071122064
2016-11-23,48.95000076293945,55.55550894870703
2016-11-24,48.95000076293945,55.56422718619342
2016-11-25,47.2400016784668,55.5729454236789
2016-11-28,48.2400016784668,55.59910013613717
2016-11-29,46.380001068115234,55.60781837362265
2016-11-30,50.470001220703125,55.61653661110904
2016-12-01,50.459999084472656,55.62525484859543
2016-12-02,54.459999084472656,55.633973086080914
2016-12-05,54.939998626708984,55.66012779853918
2016-12-06,53.93000030517578,55.66884603602466
2016-12-07,53.0,55.67756427351105
2016-12-08,53.88999938964844,55.686282510996534
