,Oil,EQNR,DNB,NHY,NOKUSD,Oil_volatility
2016-06-06,0.01833198748189102,0.028094576890023815,0.0018958164737634675,0.018518255514981652,0.018861328866549343,
2016-06-07,0.01760631855748751,0.016986416737897247,0.009460762872563588,-0.005454570306841711,0.0007331665031788948,
2016-06-08,0.020800927748638065,0.015976733918134478,-0.003748737129244173,0.006398674403494509,0.005949120884332082,
2016-06-09,-0.010664589154330772,-0.01358092635491015,-0.011288782941930475,-0.02906464657833363,0.0038747680767037274,
2016-06-10,-0.02714147885861029,-0.010145231535440113,-0.022835541727256214,-0.01060162666706188,-0.00772396465345182,
2016-06-13,-0.003759446734554306,-0.008784364171887105,-0.02336892711340699,-0.011345779808408452,-0.01429399545270027,
2016-06-14,-0.01032763969861239,-0.01698708392967574,-0.007976011304337227,-0.007012993981279858,-0.00023315198057771713,
2016-06-15,-0.017258691124823478,0.0,0.005025036372753977,0.003531310300189494,-0.00911138392836508,
2016-06-16,-0.03634883703538905,-0.02178792248460082,-0.030499912916558736,-0.0249520603377823,0.0051811998382718105,
2016-06-17,0.0419580334786378,0.04070681533843157,0.0479627182217961,0.028871375695670443,-0.0066748095968568455,
2016-06-20,0.03009972365360647,0.022877979253268066,0.028543441504245814,0.02008932687056797,0.009397719616639266,
2016-06-21,-0.0005923512949710386,-0.014430208985509063,0.003827528330461627,-0.00906536764586896,0.0010994345359602864,
2016-06-22,-0.014618685882733518,0.01976585862105318,0.007626382860624004,0.009463732640241806,-0.0036716708522535058,
2016-06-23,0.0206495340264794,0.012921889817352872,0.0104069731749028,-0.006250164373448164,0.00822463348807223,
2016-06-24,-0.0491062661067182,-0.017717985514125956,-0.05898880272121043,-0.0317608615457845,0.002147034611771792,
2016-06-27,-0.025821111422020038,-0.023087812946591013,-0.03830857762343176,-0.05164015976407632,-0.03663864743265233,
2016-06-28,0.030110305094084966,0.01477067284193967,0.009311967955842215,0.017808149019939545,-0.003763770247821263,
2016-06-29,0.04178671681315582,0.03420682415763143,0.014864346065027734,0.019852002032738847,0.011353370670528218,
2016-06-30,-0.018375820864652614,0.014074513100478026,0.0035352157156129937,0.00032999773276376487,0.010337411756687898,
2016-07-01,0.003220608825065474,0.013185180660815643,0.010568693349628289,0.041886501055264924,0.003705789124409664,
2016-07-04,0.0,0.007534367480228399,-0.01294819372082845,-0.0015826533146884314,0.0021862535164218766,
2016-07-05,-0.037720727575431545,-0.014275775486409015,-0.03128162130895562,-0.02790115614609523,0.004856849604690128,
2016-07-06,0.017514599012155685,-0.020000160204919903,-0.014062386478343791,-0.017286272790599688,-0.013962656588794253,
2016-07-07,-0.04918028173572164,0.044334811626592474,0.03486526110960497,0.016594637874842944,-0.0026644151647253755,
2016-07-08,0.007758551375337985,-0.015498655455549293,0.0142930022769856,0.008488425705149183,-0.007685786924158999,
2016-07-11,-0.010906722408891678,0.013005039731143642,0.023653664663747076,0.04208460002077663,-0.0034029416344314445,
2016-07-12,0.04800002639358114,0.00675693468909766,-0.07571286452246129,0.017086292539161718,0.0030369586648819613,
2016-07-13,-0.04559527219953852,0.0020135014684001806,-0.011169994852665899,0.02199126685038877,0.007419977867263228,
2016-07-14,0.023994825997105007,-0.002009455426947304,0.009682496243934358,-0.0005976810950646394,0.002037386757526738,
2016-07-15,0.00506653333076712,0.005368817568729201,0.0,0.0002992003248927233,0.005228754724804885,0.4405556408490697
2016-07-18,-0.013652625867380919,-0.01602130338499652,-0.006925902311147314,0.005381189376886475,-0.010580835752374229,0.43809462449972897
2016-07-19,-0.006388399550879553,0.0,0.006974204973491549,-0.007433786049442448,0.004015789339199216,0.4342260965072451
2016-07-20,0.010930096939584244,-0.0027134606718494103,0.01545022246247485,-0.003894690273994139,-0.008725438045544154,0.43047387577496415
2016-07-21,-0.020563863550125516,0.01496569315798979,0.002098655345866174,0.06466169247087628,0.0012179604699464885,0.432912265607657
2016-07-22,-0.011039007095419384,-0.028820385132738324,-0.007853581757093497,-0.013841816413011188,0.002379139600650726,0.4277696020763127
2016-07-25,-0.021229972316935686,-0.025534788066006175,-0.007915535161468368,-0.0037240848957811323,-0.008698343008230247,0.43102155372686013
2016-07-26,0.0033541526629521368,0.0113314331079033,-0.0005318122541283499,0.01868907027023914,-0.003609320437295893,0.43098655384437096
2016-07-27,-0.031201197782663614,-0.01540631625256872,0.01596594418219821,0.0045160145362128645,0.001268004457840144,0.4368127867459551
2016-07-28,-0.017713375572599444,-0.03627271111802988,-0.028810774815090867,0.01461078702048968,0.005076707876995767,0.42791943754904144
2016-07-29,-0.005620648107226733,-0.019926310671428138,0.0016179558977311714,-0.002215444007222289,-0.0028036124717321087,0.406171907220546
2016-08-01,-0.00023547625409303663,-0.006024137950135233,-0.008616055173439885,-0.005273383361661277,0.01341614303619254,0.39297838845974775
2016-08-02,-0.01531216759002707,-0.01136369080272448,-0.004345505022062768,-0.008091549084606298,-0.0065400041942048626,0.3936724993197078
2016-08-03,0.031100460784409423,0.006130409982231022,0.0016367869692945902,-0.008157556352240913,0.007517743335132998,0.40710949184389467
2016-08-04,0.02761026643935427,0.019040127524575068,0.016339873603373745,0.00964257396882795,-0.0025492437268739288,0.4113298985491361
2016-08-05,-0.0004515795292444613,0.0074739427652315005,0.011254014991905814,0.014045017630254009,0.0041300405036592824,0.3888393054611319
2016-08-08,0.025299275362631102,0.007418210128592451,0.010068878403472592,0.03130204761027433,-0.010650483166011804,0.39063157134442
2016-08-09,-0.00903282337354716,0.007363965633623293,0.012067091286340537,0.008595184488206176,0.005030222800430639,0.37988461450150224
2016-08-10,-0.02067586293109025,-0.01018318871992796,0.0031105888214486566,-0.00932096922600767,0.00725924431566316,0.35950239891981906
2016-08-11,0.045175975321982476,-0.0007487415499712879,-0.003617708806268327,-0.015053541879168297,0.017725189944734376,0.38431359939284526
2016-08-12,0.020199832464862677,0.0007493025839493406,-0.0010373540523317404,-0.004093890206175899,0.002681735271455654,0.389529031510188
2016-08-15,0.029380396371156525,0.0029938225009797925,0.009865062072623276,-0.0035626674135522673,0.003460870395617377,0.39980445444408585
2016-08-16,0.01820064314141079,0.009701355532910405,-0.008740406150190672,0.0068756387031327915,-0.0010173532924748763,0.3874750815040115
2016-08-17,0.012593925201092926,-0.02439021406244324,-0.020228229087239646,-0.018847295519557328,0.0031373910339003164,0.38592962845147794
2016-08-18,0.020862606767525715,0.016666774384266114,0.0005292784315933385,0.011414270931711767,-0.0006040935301326877,0.3592676845772513
2016-08-19,-0.00019646927988048457,0.0022354232801495844,0.0005292125846381168,0.007156465809320611,0.005349257788497042,0.3591554273007247
2016-08-22,-0.03380505472868378,-0.01784397182188957,0.012691672991766323,-0.018584157266548607,-0.010678523215321811,0.3727696586307034
2016-08-23,0.016273377533435163,-0.002271153040551699,0.023498808190743015,0.004177029222428352,0.00415502634652154,0.3495927549658261
2016-08-24,-0.018214568936910425,0.006070097838797528,0.001530591946816262,0.013033885466118722,-0.0004456278938603786,0.32591967202622785
2016-08-25,0.01264014151943793,-0.004524985511922486,-0.0056036852905683165,-0.01204492881762309,-0.000431022775571388,0.3209318124709908
2016-08-26,0.005033219432577063,0.005302985652112291,0.0051229291510592745,0.007758434630205535,-0.000720251836614616,0.3209288611037596
2016-08-29,-0.013221151274454335,0.0,-0.007135642180291946,0.00027476348573896026,-0.007639535387196861,0.32075098174377387
2016-08-30,-0.01806738570795663,0.009796684516475196,0.025153996889763164,-0.004397837445609509,0.0016446337136766243,0.3250958173647931
2016-08-31,-0.027496341652402,-0.01641820487958401,0.014522019879718684,-0.022087322243786178,-0.008322357434019656,0.33425717866573523
2016-09-01,0.00021254934818459859,-0.0212440382018807,-0.00197455143928571,-0.004799507835706152,0.000687597028253828,0.3284580740951306
2016-09-02,-0.004675821669994251,0.023255729019685978,0.004945577893151976,0.0056735643231971,0.0006737136204888472,0.32697708185607177
2016-09-05,0.0,0.0227271916102203,0.0019685887566898153,0.0,0.002528060102123808,0.32013792517389705
2016-09-06,0.00918207289484596,-0.01481463735367805,-0.005893964302255972,-0.012693779864263788,0.0016471254893752896,0.32083905972526444
2016-09-07,0.015234897297384586,0.010526226097875568,0.010869599993601264,0.008857129240428252,0.014272950719393718,0.3071065240645173
2016-09-08,0.04189250011269974,-0.002232096966991448,-0.008797603877241489,-0.02322291955415645,-0.00029709797958754613,0.3197000906649863
2016-09-09,-0.03960798740653937,-0.02610008396685115,0.029585739772548747,-0.035952396542635046,-0.0004999822370722606,0.34417743239126414
2016-09-12,0.006457016957486017,-0.014548396491139481,-0.022030468646823786,-0.005714285714285672,-0.0076376730252162295,0.34395250236477776
2016-09-13,-0.025248369793218428,-0.020201742379008736,-0.003918027704071014,-0.004839757712679971,0.0029251521554636284,0.3500900664324909
2016-09-14,-0.026539278991416726,-0.003964756241305212,-0.0009832271033740625,0.0027357126392941744,-0.006399009109806841,0.35149020556733945
2016-09-15,0.016139622750139804,-0.01194313499614208,-0.003936978337423902,-0.00545631433949878,0.004958862232296912,0.345839641201458
2016-09-16,-0.017600336813449635,0.008058023928539937,-0.0029643212315600964,0.004267113341697826,8.502709118940466e-05,0.3504020488909206
2016-09-19,0.003932713641588981,0.012789777948910785,0.012883961913553232,0.026403557506426978,-0.009846048413597486,0.3431063056459687
2016-09-20,-0.0015233883277903093,-0.010260214261228473,-0.003913864746565743,0.0,0.0035567189841974045,0.3419561043893581
2016-09-21,0.02070620620799568,0.005581987684351919,0.011787729819881188,0.01714959205616795,-0.00149799620012947,0.3403125457792862
2016-09-22,0.017510135869361676,0.019032425392979224,0.01941772306255163,0.019476689056143748,0.006010928049577702,0.31876222767350415
2016-09-23,-0.036936035254366284,-0.0023347807216594907,-0.0038096870457278165,0.007984087071885249,0.01479172848067467,0.3321228534621972
2016-09-26,0.03181519075814143,-0.013260492613459962,-0.01720844382782627,-0.012164046780711035,0.002877314093425065,0.33409943015742927
2016-09-27,-0.029144610303888374,-0.019762510457067117,0.0,-0.0034364991055479965,-0.00043544333638845245,0.3392336138150706
2016-09-28,0.05916896527687876,0.01048382500704692,0.004863924165670275,0.008333452946864162,0.00035413684942531276,0.381001658790918
2016-09-29,0.011296016990563373,0.0694333479329663,0.03291368912433801,-0.00797953542318619,0.010140599083809487,0.37733018903016124
2016-09-30,-0.003655570654752749,-0.0007463165940748695,-0.01874406495788028,-0.010341901607830994,-0.0032099575403422564,0.3774132099429024
2016-10-03,0.000815269052394596,0.0007468739985336814,0.006685702037369623,0.0052249871064729,0.006952374343467405,0.3643286442837279
2016-10-04,0.03604889028044633,0.011193988721060144,0.035104372341348666,-0.004909171970067794,0.0023120001839307402,0.37621827349520254
2016-10-05,0.019461405528873987,0.01107007047699926,0.02016492720010299,0.007254914173652871,-0.004083257278368113,0.37545489958609546
2016-10-06,0.01253370041518842,0.004379750779047731,0.001796901467690848,0.0034572032961828203,-0.0017525477309844328,0.3754291279090982
2016-10-07,-0.011045477716566166,-0.0043606522091377276,-0.0008966274623301018,0.0005741719117291488,-0.004688081209545225,0.377234319035852
2016-10-10,0.0,0.02700736331251652,0.00897650109616177,0.023529537466151274,-0.004201551729304809,0.3746614941282652
2016-10-11,0.00924320314684235,-0.014925608161111104,-0.0008896880444650979,-0.013176476778745894,0.0018069185058706694,0.37026753945104035
2016-10-12,-0.011448167828047029,-0.0014427270260144454,-0.011576063625402644,0.0031250954097123973,-0.01170316777885605,0.36162514810872237
2016-10-13,0.0042462343210682985,-0.01372846928183924,-0.012612547572719457,-0.014726647920381475,-0.005110915173914599,0.36149795589734385
2016-10-14,-0.0015375363873592063,0.01685015513030752,0.025547311831265906,0.013222180579919085,0.007021708304455032,0.36098706062118735
2016-10-17,-0.008277195358244116,-0.015130101368229787,-0.003558572139807481,-0.008510732949828292,-0.008661625811174356,0.3625207795724137
2016-10-18,0.003105587072796734,-0.015361886098806954,0.024999929233267437,0.0028612624236632467,0.00833209548251701,0.36211158619064066
2016-10-19,0.019156305300377152,0.011886890355086388,0.002613205920791062,0.0008559383247637165,0.0007061006880482168,0.363416834080906
2016-10-20,-0.02449206655926317,-0.005873439051185092,0.016507480096599636,-0.00826676430919393,0.00326385964242637,0.35304468904113134
2016-10-21,0.0077850856922201395,0.010339456859244978,-0.00170941747779918,0.005173836215339511,-0.006342242776790852,0.33156437105536163
2016-10-24,-0.006179986527001691,-0.0007310412357891538,0.0,0.022876747466197278,-0.009000270034317914,0.3323527678691639
2016-10-25,-0.013019785869904488,0.0043890837005340355,-0.001712344589568593,0.02627877382874355,-0.000131967515688447,0.32535734248999587
2016-10-26,-0.015948048015163252,-0.017479800787287503,-0.021440963936273705,-0.010078774390422929,-0.0029843362496158043,0.31845591857708844
2016-10-27,0.009803955241190376,0.022238711073170547,0.03856279033856369,-0.0030269763774883884,0.0018844246691147593,0.31672143992181234
2016-10-28,-0.015058492527214584,0.0029005623192457364,0.0075949502551933,0.011316773568102567,-0.00018381302125525245,0.3153773400704531
2016-10-31,-0.028364511635095457,-0.020968602338081843,0.0008375851920632282,0.00846027127795912,0.001267766724515118,0.32813232671389814
2016-11-01,0.0006211717281170426,-0.0029544932616638597,-0.0016737684604490877,0.025981204949812264,-0.0006933521935631459,0.32799851347061837
2016-11-02,-0.03041591485640227,-0.029229735629821563,-0.02095548697674887,-0.013188961554441825,0.00579044129532047,0.33595135954739436
2016-11-03,-0.010883528160215317,0.017788220086886186,0.010273836529709923,-0.0018712510645350067,0.0034229301361905495,0.3333337508255093
2016-11-04,-0.016612657355238647,0.003039406899918662,-0.010169358205890489,-0.02196023733329533,-0.0001720544311886174,0.31903875825188466
2016-11-07,0.012505477664019438,0.019697279151761782,0.005992917303862866,0.031763371182436106,0.004512141139179304,0.3069689890805415
2016-11-08,-0.0023835451075744363,0.017830352647822068,0.0034045171968188903,0.010350296978411055,-0.009677920628791803,0.29496680484495286
2016-11-09,0.006950471078646325,-0.005109470309686004,0.015267201776993256,0.03519821799856748,0.002102015504503729,0.2375055275952684
2016-11-10,-0.011216575731613831,0.02494497452421851,0.022556316405379695,0.020806859095821473,-0.012298239986679893,0.2359022575658431
2016-11-11,0.0,-0.022190416127967905,0.0008171663571707732,-0.01963725558216234,-0.005755195755798748,0.23595432309991243
2016-11-14,-0.030759158872570525,-0.017569573454485288,0.011428234747357768,0.00786041458494302,-0.0071699677686810626,0.24983926244397986
2016-11-15,0.05671844340433441,0.029806431332255467,0.004842769507538147,-0.025408835265023244,-0.004299810258354686,0.28303648076647425
2016-11-16,-0.006815754837576349,0.007959266821698341,-0.02008034478495202,-0.0036140166456692935,0.0033087285283865953,0.27544992153974085
2016-11-17,-0.003002345838335585,0.009332613055900163,0.0024589839443398542,-0.002590545977701142,-0.0033012735809183624,0.2712929536895863
2016-11-18,0.007958677533370428,-0.010668790363804637,0.0073590771419649315,0.007013136085899374,-0.009974836222950256,0.272538377425549
2016-11-21,0.043533949828346685,0.03594532350709878,0.004058424137406869,-0.0020636768742240408,-0.00568661927987113,0.30442815526867395
2016-11-22,0.004498924317812847,0.010409836587230048,0.006467210037802706,0.0227449632732315,0.007455049129698743,0.30323731764376705
2016-11-23,-0.003460874850202078,0.000686724178126985,0.0016063322257833246,-0.0020218021374320827,0.0020136933180237016,0.3019520815788187
2016-11-24,0.0,0.004804029052149161,-0.004811484555138912,0.03190703268827644,-0.012106548131512906,0.30147365783989877
2016-11-25,-0.034933586472327804,-0.00887940693428857,-0.002417482142016536,-0.001472572319072607,0.003480445856251846,0.31633509285375194
2016-11-28,0.021168500517980027,-0.005513590686757275,-0.009693035178975573,-0.0024576338461110847,0.0022199490606118477,0.3234758629034076
2016-11-29,-0.038557225241180326,-0.03187808666010872,-0.004078176512273823,-0.002217267613886187,0.0036377308524959684,0.339892233607181
2016-11-30,0.08818456357043147,0.044381012109447004,0.02702700015103998,-0.008888854006308011,0.0016383572875049435,0.4273031726830297
2016-12-01,-0.0001981798293748671,0.04043849992487303,0.017543806801561646,-0.008968725191937033,0.0006865194853429291,0.42149784807339014
2016-12-02,0.07927071091110793,-0.015151707001177295,-0.012539090162653532,-0.004776194050415183,0.013399468087031297,0.4802006722271706
2016-12-05,0.008813800042335673,-0.0033442177058248257,0.015872947891915512,0.020459689218632837,-0.006855163242948326,0.47991665152259216
2016-12-06,-0.018383661208214774,-0.011409436998358835,0.014843729579279374,0.0007423652970788286,0.010298052584839512,0.4816834975686128
2016-12-07,-0.017244581863770647,0.0108619746793297,0.016166276238613886,0.028939230580941944,-0.001936568514977366,0.4821279118401758
2016-12-08,0.016792441314121387,0.015446806837589033,0.025757406502528557,0.03485575707297017,0.005147594529901989,0.48348513817899175
2016-12-09,0.008164825503612194,0.01785724226490415,0.002954436986059683,-0.01602779302175983,-0.008614928301873603,0.48078202238686424
2016-12-12,0.025032150742114068,0.0155946453394058,0.008099973753442402,-0.004957683419492986,-0.006196697204210122,0.4750006707603419
2016-12-13,0.0005387429472794025,-0.007038041706931675,-0.011687177393470805,0.0007117589546064007,0.005757827713302133,0.47500760258824537
2016-12-14,-0.03266331039038073,0.001933063595372042,-0.00960831666503803,-0.02086288662524083,0.00016022612296318073,0.47651315195418864
2016-12-15,0.002226325203852797,-0.007074171063365942,-0.029850821401481875,-0.016222640507292052,-0.01906536128311076,0.4742010756325444
2016-12-16,0.02202885258469034,0.023316631521015374,0.009230959220270396,0.022150991419519706,-0.007591576731345473,0.4717350959938389
2016-12-19,-0.005252688287200158,-0.007595303466662706,-0.01753059682300795,-0.005056474301911029,-0.0022355720771209953,0.47268383896000177
2016-12-20,0.007829576101823887,0.005739774764315975,-0.0015517094131595188,0.0014520387264054246,-0.0004744950045161289,0.47199223393059125
2016-12-21,-0.016079483544422457,-0.0012680668457160094,-0.010100947630128032,-0.0055585290525121955,-0.0027442440249705324,0.4765303878206979
2016-12-22,0.01083364235230233,0.002539593052527156,0.013343870457334539,-0.0024300141433870603,0.0031469385568305697,0.4739640019824252
2016-12-23,0.0019981945844880222,-0.0006335485393416107,0.0007745482524645908,-0.0053590389423398,-0.003774411322380433,0.4737596946462278
2016-12-26,0.0,0.0,0.0,0.0,0.0023218789942383022,0.460890666240343
2016-12-27,0.016860049088985196,0.005069929568875642,-0.0015480020019085217,0.002938854883873132,0.0008060545784682738,0.4379079979023791
2016-12-28,0.0023177227270738676,0.0075664137505429,-0.0007751487235563292,0.01880332490984782,-0.002300012079786584,0.4363272662810971
2016-12-29,-0.0014230136840557295,-0.0006260942301690164,0.0007757500452136856,-0.011265481492812035,-0.0008104397769056471,0.43604887425403127
2016-12-30,-0.00017809621734776737,-0.008140233536912622,-0.004651310662289965,0.0012120979944092447,0.014262899832198972,0.4364760838519504
2017-01-02,0.0,0.010101211180927105,0.00934609290616506,-0.006053372858902395,-0.005041567689122117,0.42228996064174834
2017-01-03,-0.011758415016083545,0.018124851749549586,-0.0007717681506045349,0.009257078263296137,-0.002573303552961037,0.42505695430137
2017-01-04,0.017847446222879038,-0.020871931646205266,0.010038651548301747,-0.009654947356745214,0.0016458087298663049,0.42611878615694765
2017-01-05,0.007616016864124164,0.01567408439850393,0.02675840032345045,0.01267382591396471,0.006794575695173055,0.4258971369056802
2017-01-06,0.003691318100292884,-0.010494022370724831,0.0014892171137916854,-0.0036101119856752906,0.012043884110265024,0.4084984664184859
2017-01-09,-0.03782836961705116,-0.008733281540962312,-0.01189592084832869,0.005797005011147771,-0.006505909779537022,0.4257009536158936
2017-01-10,-0.023662163624965094,0.005034515195374789,0.007524422855023305,0.01777148566531772,0.0008701462937033,0.4145981452512595
2017-01-11,0.027218476903159816,0.006261954099718414,-0.006721546924030597,0.013921479967112571,-0.008395206061520666,0.339359705214071
2017-01-12,0.01651542418534757,0.0006217279251994334,0.004511422187400749,0.018617709304979746,0.007322848126831261,0.34137932357864575
2017-01-13,-0.009998171315396376,0.011816116006269528,0.008982119372215047,-0.011651857033518676,0.0017612357656553446,0.25737598700322595
2017-01-16,0.0,-0.006146414572196002,-0.0051929761914532024,0.004623190550818501,0.0016230150132698906,0.256235123140635
2017-01-17,0.0003606935525426458,-0.008039241842530576,0.0029828763781341028,-0.012425205384794302,-0.002279569936100012,0.24995491693988742
2017-01-18,-0.027943086671130324,-0.004987356169427248,-0.004461007932018202,0.008387736037767768,0.00833202546436751,0.25853863401680993
2017-01-19,0.004451069855655687,-0.0018795345699995636,0.011949427948630076,0.037199746903477715,-0.004373188314470755,0.2543042537090264
2017-01-20,0.024556902415099113,0.0037660688825866817,0.002213892964906039,0.0022276923749231514,0.005985075381645721,0.2630032767966499
2017-01-23,-0.004685567279976599,-0.01188199074079166,-0.0029457340005774046,0.004000906510578828,0.0065391103412504314,0.2531667716364014
2017-01-24,0.003802264823704382,0.006328849725579122,0.003692846958530005,0.07859195068160041,0.0046883734327005655,0.2534207921818067
2017-01-25,-0.006493448855910744,0.003773649605323781,0.022810955445146996,-0.008620810179315264,-0.0001412279552960305,0.23481734946717592
2017-01-26,0.02106027249182274,-0.0037594627103505474,0.006474831944277115,0.025465879775063982,0.005396852162912857,0.24202560043493235
2017-01-27,-0.012802297283337372,-0.005660671935759587,-0.002144360588162475,-0.006662709303344783,-0.0037060811864608745,0.23730540993822394
2017-01-30,-0.005223359386460347,-0.022770159948458435,-0.017191943295134404,-0.02662592842885758,0.001461744728469272,0.23729946690438813
2017-01-31,0.008509889998164821,-0.007119714469852045,0.002915282182953227,-0.01879315093492917,0.002532345636863109,0.23749525406353728
2017-02-01,-0.0007181492814980484,0.006518634579580462,0.015988522579137188,0.021493964192317083,0.007323983887878915,0.23239687950369348
2017-02-02,0.016169628608447617,-0.00906732578899938,-0.020744063808825985,-0.007708161286485549,0.0014602643364678425,0.2348938016319105
2017-02-03,0.004420084758308684,0.01045764363659174,0.0365230575809079,0.004618823443869102,-0.00207655755002889,0.2350872539208613
2017-02-06,-0.01918676511598094,0.012289735137680502,-0.011980237376237546,0.0031347363431644126,0.005241316340566904,0.24232540370190983
2017-02-07,-0.012024443089811654,-0.03067105654490143,0.002139772145106855,0.013541913292551166,-0.006186242075445936,0.23977500816096725
2017-02-08,0.0012715657728310514,-0.027686043697903173,-0.014234624630261816,-0.017471897674093295,-0.007995076356402842,0.23968684205635457
