,mean,median,min,max,std,annualized_std
Oil,0.000562824158731828,0.0008946009561948687,-0.2440359736250306,0.21018596649341958,0.02456588685617918,0.3899713641432028
EQNR,0.0007568148876927459,0.0,-0.17715526512101376,0.11030648051571479,0.018878361534263578,0.29968469868017517
DNB,0.0007125326561925807,0.0004640229324123224,-0.1257591217455194,0.09915108094331249,0.014973342995983536,0.23769445117585947
NHY,0.0009060848900693727,0.0,-0.12063500551882966,0.1417535345276153,0.021342768240162183,0.33880594231894084
NOKUSD,4.6581435877866536e-05,8.242278797121472e-05,-0.34222913992993254,0.3934938690806995,0.013224322596675152,0.20992961308856625
