,Oil,EQNR,DNB,NHY,NOKUSD
2016-06-03,49.63999938964844,77.85822296142578,59.66274642944336,20.413536071777344,0.12003793567419052
2016-06-06,50.54999923706055,80.04556274414062,59.775848388671875,20.79156494140625,0.12230201065540314
2016-06-07,51.439998626708984,81.40528869628906,60.341373443603516,20.67815589904785,0.12239167839288712
2016-06-08,52.5099983215332,82.70587921142578,60.11515808105469,20.810462951660156,0.12311980128288269
2016-06-09,51.95000076293945,81.58265686035156,59.43654251098633,20.20561981201172,0.12359686195850372
2016-06-10,50.540000915527344,80.7550048828125,58.07926940917969,19.99140739440918,0.12264220416545868
2016-06-13,50.349998474121094,80.04556274414062,56.72202682495117,19.764589309692383,0.12088915705680847
2016-06-14,49.83000183105469,78.68587493896484,56.26959991455078,19.625978469848633,0.12086097151041031
2016-06-15,48.970001220703125,78.68587493896484,56.5523681640625,19.695283889770508,0.11975976079702377
2016-06-16,47.189998626708984,76.97144317626953,54.8275146484375,19.203847885131836,0.12038026005029678
2016-06-17,49.16999816894531,80.1047134399414,57.45720291137695,19.758285522460938,0.11957674473524094
2016-06-20,50.650001525878906,81.93733978271484,59.09721755981445,20.15521812438965,0.12070049345493317
2016-06-21,50.619998931884766,80.7550048828125,59.323421478271484,19.972505569458008,0.12083319574594498
2016-06-22,49.880001068115234,82.35116577148438,59.775848388671875,20.161518096923828,0.12038953602313995
2016-06-23,50.90999984741211,83.41529846191406,60.39792251586914,20.035507202148438,0.12137969583272934
2016-06-24,48.40999984741211,81.93733978271484,56.83513259887695,19.399158477783203,0.12164030224084854
2016-06-27,47.15999984741211,80.04556274414062,54.65785598754883,18.397384643554688,0.11718356609344482
2016-06-28,48.58000183105469,81.22794342041016,55.16681671142578,18.725008010864258,0.11674251407384872
2016-06-29,50.61000061035156,84.00650024414062,55.98683547973633,19.096738815307617,0.11806793510913849
2016-06-30,49.68000030517578,85.18883514404297,56.18476867675781,19.103036880493164,0.11928845196962357
2016-07-01,49.84000015258789,86.31205749511719,56.77857971191406,19.903200149536133,0.11973050981760025
2016-07-04,49.84000015258789,86.96235656738281,56.04339599609375,19.871694564819336,0.11999227106571198
2016-07-05,47.959999084472656,85.72089385986328,54.29026412963867,19.3172550201416,0.12057505548000336
2016-07-06,48.79999923706055,84.00650024414062,53.52681350708008,18.98332977294922,0.11889150738716125
2016-07-07,46.400001525878906,87.73088836669922,55.393035888671875,19.29835319519043,0.11857473105192184
2016-07-08,46.7599983215332,86.3711929321289,56.18476867675781,19.4621639251709,0.11766339093446732
2016-07-11,46.25,87.49442291259766,57.51374053955078,20.281227111816406,0.11726298928260803
2016-07-12,48.470001220703125,88.08558654785156,53.159217834472656,20.627758026123047,0.1176191121339798
2016-07-13,46.2599983215332,88.26295471191406,52.56541442871094,21.081384658813477,0.11849184334278107
2016-07-14,47.369998931884766,88.08558654785156,53.07438659667969,21.068782806396484,0.11873325705528259
2016-07-15,47.61000061035156,88.55854034423828,53.07438659667969,21.07508659362793,0.11935408413410187
2016-07-18,46.959999084472656,87.13970947265625,52.70679473876953,21.188495635986328,0.11809121817350388
2016-07-19,46.65999984741211,87.13970947265625,53.07438659667969,21.030982971191406,0.11856544762849808
2016-07-20,47.16999816894531,86.90325164794922,53.8943977355957,20.949073791503906,0.11753091216087341
2016-07-21,46.20000076293945,88.20380401611328,54.00749969482422,22.303678512573242,0.11767406016588211
2016-07-22,45.689998626708984,85.6617660522461,53.58335876464844,21.994958877563477,0.11795402318239212
2016-07-25,44.720001220703125,83.47439575195312,53.159217834472656,21.913047790527344,0.11692801862955093
2016-07-26,44.869998931884766,84.4203109741211,53.13093948364258,22.322582244873047,0.11650598794221878
2016-07-27,43.470001220703125,83.11971282958984,53.9792366027832,22.423389434814453,0.11665371805429459
2016-07-28,42.70000076293945,80.1047134399414,52.42403793334961,22.751012802124023,0.11724593490362167
2016-07-29,42.459999084472656,78.50850677490234,52.50886154174805,22.700611114501953,0.11691722273826599
2016-08-01,42.45000076293945,78.03555297851562,52.05644989013672,22.580900192260742,0.11848580092191696
2016-08-02,41.79999923706055,77.14877319335938,51.83024597167969,22.398183822631836,0.1177109032869339
2016-08-03,43.099998474121094,77.62174987792969,51.915069580078125,22.215471267700195,0.11859582364559174
2016-08-04,44.290000915527344,79.09969329833984,52.76335906982422,22.429689407348633,0.11829349398612976
2016-08-05,44.27000045776367,79.69087219238281,53.35715103149414,22.744712829589844,0.11878205090761185
2016-08-08,45.38999938964844,80.28206634521484,53.8943977355957,23.4566650390625,0.11751696467399597
2016-08-09,44.97999954223633,80.87320709228516,54.54475784301758,23.658281326293945,0.1181081011891365
2016-08-10,44.04999923706055,80.04969024658203,54.71440505981445,23.437767028808594,0.11896547675132751
2016-08-11,46.040000915527344,79.9897689819336,54.5164794921875,23.084936141967773,0.12107416242361069
2016-08-12,46.970001220703125,80.04969024658203,54.459930419921875,22.99043083190918,0.12139885127544403
2016-08-15,48.349998474121094,80.2893295288086,54.99716567993164,22.908525466918945,0.12181899696588516
2016-08-16,49.22999954223633,81.06825256347656,54.5164794921875,23.0660400390625,0.12169506400823593
2016-08-17,49.849998474121094,79.09095764160156,53.413700103759766,22.63129997253418,0.12207686901092529
2016-08-18,50.88999938964844,80.40917205810547,53.441978454589844,22.889623641967773,0.12200312316417694
2016-08-19,50.880001068115234,80.58891296386719,53.47025680541992,23.053438186645508,0.12265574932098389
2016-08-22,49.15999984741211,79.1509017944336,54.148887634277344,22.625001907348633,0.12134596705436707
2016-08-23,49.959999084472656,78.97115325927734,55.42131423950195,22.719511032104492,0.1218501627445221
2016-08-24,49.04999923706055,79.45047760009766,55.506134033203125,23.015636444091797,0.12179586291313171
2016-08-25,49.66999816894531,79.09095764160156,55.19510269165039,22.738414764404297,0.12174336612224579
2016-08-26,49.91999816894531,79.51039123535156,55.47787094116211,22.914825439453125,0.12165568023920059
2016-08-29,49.2599983215332,79.51039123535156,55.081993103027344,22.921123504638672,0.12072628736495972
2016-08-30,48.369998931884766,80.2893295288086,56.46753692626953,22.82032012939453,0.12092483788728714
2016-08-31,47.040000915527344,78.97115325927734,57.28754425048828,22.316282272338867,0.11991845816373825
2016-09-01,47.04999923706055,77.29346466064453,57.174434661865234,22.209171295166016,0.1200009137392044
2016-09-02,46.83000183105469,79.09095764160156,57.45720291137695,22.335182189941406,0.12008175998926163
2016-09-05,46.83000183105469,80.88851165771484,57.57030487060547,22.335182189941406,0.12038533389568329
2016-09-06,47.2599983215332,79.69017028808594,57.23097610473633,22.051660537719727,0.12058362364768982
2016-09-07,47.97999954223633,80.52897644042969,57.85306930541992,22.246976852416992,0.12230470776557922
2016-09-08,49.9900016784668,80.3492431640625,57.344093322753906,21.73033905029297,0.12226837128400803
2016-09-09,48.0099983215332,78.25215148925781,59.040672302246094,20.949073791503906,0.12220723927021027
2016-09-12,48.31999969482422,77.11370849609375,57.739959716796875,20.829368591308594,0.12127386033535004
2016-09-13,47.099998474121094,75.55585479736328,57.51374053955078,20.728561401367188,0.12162860482931137
2016-09-14,45.849998474121094,75.25627136230469,57.45720291137695,20.78526496887207,0.12085030227899551
2016-09-15,46.59000015258789,74.35751342773438,57.23097610473633,20.671857833862305,0.12144958227872849
2016-09-16,45.77000045776367,74.95667266845703,57.06133270263672,20.760061264038086,0.12145990878343582
2016-09-19,45.95000076293945,75.91535949707031,57.7965087890625,21.308202743530273,0.12026400864124298
2016-09-20,45.880001068115234,75.13642120361328,57.57030487060547,21.308202743530273,0.12069175392389297
2016-09-21,46.83000183105469,75.55585479736328,58.248939514160156,21.673633575439453,0.12051095813512802
2016-09-22,47.650001525878906,76.9938735961914,59.379981994628906,22.09576416015625,0.12123534083366394
2016-09-23,45.88999938964844,76.8141098022461,59.153770446777344,22.272174835205078,0.12302862107753754
2016-09-26,47.349998474121094,75.79551696777344,58.13582229614258,22.00125503540039,0.12338261306285858
2016-09-27,45.970001220703125,74.29756927490234,58.13582229614258,21.92565155029297,0.12332888692617416
2016-09-28,48.689998626708984,75.0765151977539,58.41859436035156,22.10836410522461,0.12337256222963333
2016-09-29,49.2400016784668,80.2893295288086,60.341373443603516,21.93195152282715,0.12462363392114639
2016-09-30,49.060001373291016,80.22942352294922,59.210323333740234,21.70513343811035,0.12422359734773636
2016-10-03,49.099998474121094,80.2893295288086,59.606197357177734,21.81854248046875,0.12508724629878998
2016-10-04,50.869998931884766,81.18810272216797,61.69862365722656,21.71143341064453,0.12537644803524017
2016-10-05,51.86000061035156,82.08685302734375,62.94277572631836,21.868946075439453,0.12486450374126434
2016-10-06,52.5099983215332,82.44636535644531,63.055877685546875,21.944551467895508,0.1246456727385521
2016-10-07,51.93000030517578,82.08685302734375,62.99932861328125,21.957151412963867,0.12406132370233536
2016-10-10,51.93000030517578,84.3038101196289,63.564857482910156,22.473793029785156,0.12354007363319397
2016-10-11,52.40999984741211,83.04552459716797,63.50830078125,22.17766761779785,0.1237633004784584
2016-10-12,51.810001373291016,82.92568969726562,62.77311325073242,22.246976852416992,0.12231487780809402
2016-10-13,52.029998779296875,81.78726959228516,61.98139572143555,21.91935157775879,0.12168973684310913
2016-10-14,51.95000076293945,83.16536712646484,63.564857482910156,22.209171295166016,0.12254420667886734
2016-10-17,51.52000045776367,81.90709686279297,63.33864212036133,22.020156860351562,0.12148277461528778
2016-10-18,51.68000030517578,80.64883422851562,64.922119140625,22.083160400390625,0.12249498069286346
2016-10-19,52.66999816894531,81.6075210571289,65.09178161621094,22.102062225341797,0.12258147448301315
2016-10-20,51.380001068115234,81.12815856933594,66.166259765625,21.91935157775879,0.12298156321048737
2016-10-21,51.779998779296875,81.96701049804688,66.05316162109375,22.032758712768555,0.1222015842795372
2016-10-24,51.459999084472656,81.90709686279297,66.05316162109375,22.53679656982422,0.1211017370223999
2016-10-25,50.790000915527344,82.2666244506836,65.9400405883789,23.129039764404297,0.1210857555270195
2016-10-26,49.97999954223633,80.82859802246094,64.5262451171875,22.895923614501953,0.1207243949174881
2016-10-27,50.470001220703125,82.6260986328125,67.0145492553711,22.826618194580078,0.12095189094543457
2016-10-28,49.709999084472656,82.86579132080078,67.52351379394531,23.084936141967773,0.12092965841293335
2016-10-31,48.29999923706055,81.12815856933594,67.58007049560547,23.280248641967773,0.12108296900987625
2016-11-01,48.33000183105469,80.88851165771484,67.46697235107422,23.88509750366211,0.12099901586771011
2016-11-02,46.86000061035156,78.52416229248047,66.05316162109375,23.57007598876953,0.12169965356588364
2016-11-03,46.349998474121094,79.92095184326172,66.73178100585938,23.52597427368164,0.12211622297763824
2016-11-04,45.58000183105469,80.16385650634766,66.05316162109375,23.00933074951172,0.12209521234035492
2016-11-07,46.150001525878906,81.74287414550781,66.44902801513672,23.740190505981445,0.12264612317085266
2016-11-08,46.040000915527344,83.20037078857422,66.67523956298828,23.98590660095215,0.12145916372537613
2016-11-09,46.36000061035156,82.7752685546875,67.69316864013672,24.830169677734375,0.12171447277069092
2016-11-10,45.84000015258789,84.8401107788086,69.22010040283203,25.3468074798584,0.12021759897470474
2016-11-11,45.84000015258789,82.95747375488281,69.27664184570312,24.849069595336914,0.1195257231593132
2016-11-14,44.43000030517578,81.49994659423828,70.06837463378906,25.04438591003418,0.11866872757673264
2016-11-15,46.95000076293945,83.92914581298828,70.40768432617188,24.408037185668945,0.11815847456455231
2016-11-16,46.630001068115234,84.59718322753906,68.9938735961914,24.3198299407959,0.11854942888021469
