Price,Close,High,Low,Open,Volume
Ticker,EQNR.OL,EQNR.OL,EQNR.OL,EQNR.OL,EQNR.OL
2021-05-28,134.0157928466797,134.85672180488274,132.776550445216,133.20438734732352,3244187
2021-05-31,132.52577209472656,135.21080894046068,132.52577209472656,134.48791743542708,2822413
2021-06-01,138.89903259277344,139.09081689916573,134.10432363249336,134.1780816323636,4392346
2021-06-02,139.1497802734375,140.846371242033,138.117078599825,138.89898290350362,4308866
2021-06-03,140.71365356445312,140.96446230528358,138.79577653818546,140.16780153845514,2611753
2021-06-04,140.93492126464844,141.74633796919468,140.50708438912469,141.37751424087492,2057904
2021-06-07,141.77587890625,142.66105385278067,139.73997540366847,140.30058357682884,2638741
2021-06-08,140.33010864257812,141.3333100087149,139.25313800096805,141.25954073324158,3096264
2021-06-09,140.9644317626953,141.39225737744243,140.41856859935956,140.52183879181695,2281985
2021-06-10,140.0054931640625,140.7873976875474,139.41537293227535,140.75789674098132,4069460
2021-06-11,140.0054931640625,140.8906678839396,139.7546957236253,140.6841274911552,2137997
2021-06-14,141.74636840820312,142.2922204397457,140.46285750600717,140.89069447340583,4149564
2021-06-15,138.235107421875,141.95285632958996,137.17290470384737,141.73155987581558,5882730
2021-06-16,135.9484100341797,138.17610820205326,135.727113576141,137.48271788614784,4953134
2021-06-17,134.10433959960938,137.1877012492638,133.86828695845966,135.06328375696356,5249980
2021-06-18,128.02609252929688,133.04209755435997,127.84906434086393,132.15692284537403,12299439
2021-06-21,131.30125427246094,131.36026742280686,126.49178944754,126.94913854881901,5330249
2021-06-22,131.9798583984375,133.80922061785958,131.4635075206496,132.08312857399508,5153251
2021-06-23,133.64697265625,134.5764157377189,132.24544686645217,132.24544686645217,3919401
2021-06-24,134.6649169921875,134.8714573782314,132.9978378032311,133.44041952092226,3587489
2021-06-25,136.5385284423828,136.8778399188898,135.59434073859904,136.43525826401913,3338335
2021-06-28,133.4403839111328,137.08436315128907,133.2928567112714,136.8335657859643,2576732
2021-06-29,134.28134155273438,135.16652752824984,133.21913864220886,134.10431336211707,1963287
2021-06-30,134.38462829589844,134.7682081821448,133.30766915167982,134.54691166101773,2721221
2021-07-01,136.4647674560547,137.4974693021284,134.70916306212342,135.13699989995567,2602635
2021-07-02,136.0369415283203,137.71877681572616,135.83040114254115,136.90737137319562,2486224
2021-07-05,136.0221710205078,136.8335876327014,135.1074954819685,136.45000784733665,1482382
2021-07-06,134.98947143554688,138.1908583846401,134.87144515261846,136.50902324753096,2963080
2021-07-07,131.6405792236328,136.09596521926494,131.4045266183928,134.95999300946855,3201374
2021-07-08,129.8701934814453,133.07158034914102,129.22106019744967,132.23066280196736,3585519
2021-07-09,131.05043029785156,132.49621279404366,130.0324733577534,131.19795751605,2952186
2021-07-12,131.5520782470703,131.75861868712593,129.8112293554516,131.07998420471318,1937820
2021-07-13,131.50778198242188,132.34869959640264,130.65210826837648,131.56679512707396,2063045
2021-07-14,132.9978485107422,134.44363132944798,131.43402813329942,131.50779738665713,2544697
2021-07-15,128.88177490234375,131.62582456244812,128.26215369021898,131.21274375436494,4231649
2021-07-16,127.9228286743164,131.59631008925788,127.87857162501469,129.82596058354352,3111506
2021-07-19,123.88050079345703,127.7752779963831,123.33463768907212,126.7278200844058,3783472
2021-07-20,125.82791900634766,126.80160790841724,123.70349048458384,124.5149072826487,3176133
2021-07-21,128.79327392578125,129.67844878409957,125.25256323689898,125.66564408707359,3365086
2021-07-22,128.0408477783203,130.44557445192763,127.64251184578224,128.94077858222394,2721455
2021-07-23,127.28845977783203,129.64892969321437,127.08191936371159,128.04086343247553,1470621
2021-07-26,131.197998046875,131.28651215401754,126.16723618624309,126.97865302041234,2014061
2021-07-27,129.89971923828125,130.88816411073626,129.19157274040487,130.88816411073626,2359975
2021-07-28,127.18516540527344,129.42761984052103,126.580300380449,128.35064966671288,3189779
2021-07-29,129.13255310058594,130.74063029866986,128.40966179423577,129.13255310058594,3417220
2021-07-30,127.19993591308594,128.43917830271906,127.19993591308594,127.96708435586727,3887671
2021-08-02,130.26856994628906,131.06521944497464,127.46550683057283,127.50976388543214,2619360
2021-08-03,130.06195068359375,131.67001606534419,128.38010482911764,128.866954648687,3013878
2021-08-04,130.65213012695312,131.58157324121444,128.9112814630892,131.40453377763887,2723745
2021-08-05,130.85867309570312,131.38978024119422,129.0883234478052,129.7374569046518,2372073
2021-08-06,132.9683074951172,133.0420767324903,130.68160745941947,130.90290391593354,3110161
2021-08-09,132.98309326171875,133.57321352554132,131.43402897613552,132.5552563518376,3481297
2021-08-10,133.2633514404297,134.78290293524063,132.7174884375272,133.1305690859492,2329020
2021-08-11,136.11013793945312,136.28847984408185,134.78738256416332,134.78738256416332,3859499
2021-08-12,138.22061157226562,138.72592879544385,136.4817098254909,137.0762093473922,3254248
2021-08-13,138.66650390625,138.85971145243715,137.53695582752275,138.25034625893414,2308793
2021-08-16,136.92758178710938,137.20997162333006,135.7534482996719,136.49656989887518,2797130
2021-08-17,140.3162078857422,140.3162078857422,135.78316217382513,136.36279604005267,2836776
2021-08-18,139.9446563720703,140.3756568945819,138.4584132653447,139.4096079465183,2101047
