Price,Close,High,Low,Open,Volume
Ticker,NHY.OL,NHY.OL,NHY.OL,NHY.OL,NHY.OL
2021-05-28,40.04465103149414,40.59158635913885,39.58640738573224,40.059433448384226,5541658
2021-05-31,40.45854568481445,40.85765961802055,40.118555773587715,40.118555773587715,3175667
2021-06-01,41.46372985839844,41.46372985839844,40.70984632159071,40.798538004840246,5236587
2021-06-02,41.611549377441406,41.981101330739214,41.123740911866605,41.53764011456491,4717326
2021-06-03,40.05943298339844,41.75937143361881,39.985520899805906,41.641114919328466,4183722
2021-06-04,40.828102111816406,40.88722895977696,40.0594333521251,40.0594333521251,2132173
2021-06-07,39.86726379394531,40.88722797672588,39.86726379394531,40.88722797672588,2964345
2021-06-08,39.527278900146484,39.85248362307981,38.93599630415052,39.689882671342055,3937357
2021-06-09,39.36467361450195,40.266381300866186,39.36467361450195,39.734225575214154,5160880
2021-06-10,39.34989547729492,39.985522504960706,39.34989547729492,39.57162609805813,2999579
2021-06-11,39.98552322387695,40.54724381399816,39.571626809532766,39.571626809532766,3605155
2021-06-14,40.14812469482422,40.6654980025351,39.83770240187231,40.118559861364695,3698157
2021-06-15,38.758609771728516,40.20725564338748,38.758609771728516,40.162908391784576,5601405
2021-06-16,38.03428649902344,38.98034142023614,37.44300393542654,38.773390408383975,6533492
2021-06-17,37.29518127441406,37.797772140611514,37.206489597866735,37.67951563206256,4316160
2021-06-18,36.71128845214844,37.47256736756063,36.59303194385007,37.04388576281808,10723138
2021-06-21,37.664737701416016,37.664737701416016,35.66176661582899,36.216094594313375,4982739
2021-06-22,37.901248931884766,38.12298236822776,37.324748764091616,38.12298236822776,4573529
2021-06-23,39.305545806884766,39.43858473504835,38.433402975349075,38.46296780815379,4993142
2021-06-24,40.133338928222656,40.23681301723646,39.39423507017267,39.630748079192074,4739948
2021-06-25,40.828102111816406,41.0054854751558,40.20725470121308,40.340293633446485,3485874
2021-06-28,40.23681640625,40.85766381208221,40.059433044273774,40.70984528358792,2801736
2021-06-29,40.48811721801758,40.84288680844707,40.11856520888793,40.11856520888793,2899882
2021-06-30,40.60636520385742,40.798533787065665,40.23681327248809,40.650712450626436,4821627
2021-07-01,40.65071487426758,41.27156226876197,40.576805611370155,40.76897138657805,2721788
2021-07-02,41.34547424316406,41.53764285043235,40.66549995764942,40.768974060274886,3315826
2021-07-05,42.114139556884766,42.335870161272744,41.478509756703644,41.61154868322795,3589799
2021-07-06,41.43416976928711,42.35065711752785,41.43416976928711,42.35065711752785,2933946
2021-07-07,41.65589904785156,42.069795455147556,41.49329527672367,41.685463882503505,3118193
2021-07-08,39.71944808959961,41.34547454761508,39.645536001852996,41.242000444227685,6057816
2021-07-09,41.685462951660156,41.685462951660156,39.911612384563135,39.911612384563135,3609137
2021-07-12,41.52285385131836,41.7593668539612,40.665493511873734,41.50807143622101,2576621
2021-07-13,41.951534271240234,42.32108620492418,41.55242032564927,41.6115471689208,3147653
2021-07-14,42.29153060913086,42.63151776303027,41.71502758789064,41.759374841665405,2726098
2021-07-15,42.86802673339844,43.01584807912928,42.35065343306934,42.45412752924363,3516549
2021-07-16,40.94635772705078,43.385400065281694,40.91679289399158,43.23757871944334,5517866
2021-07-19,39.55684280395508,41.020268251904305,39.379456619601655,41.020268251904305,4523838
2021-07-20,40.931575775146484,40.931575775146484,39.94117641208223,39.95595882877963,3750907
2021-07-21,41.58198165893555,41.72980299388817,40.29594252959986,40.96113430770049,3364722
2021-07-22,41.86284637451172,41.98110289118433,41.47851199046131,41.75937227485541,3756642
2021-07-23,41.50807189941406,42.86802308951491,41.02026347358754,42.86802308951491,4337602
2021-07-26,42.380218505859375,42.51325743582399,40.87244584589889,41.37503673255238,3393074
2021-07-27,42.94193649291992,42.94193649291992,42.04023163050817,42.2767446586284,3757691
2021-07-28,42.779335021972656,43.22279623937816,42.40978306764884,42.7054229394333,2882795
2021-07-29,44.19841384887695,44.19841384887695,42.9123746070673,43.104540385691855,4704282
2021-07-30,43.444522857666016,43.74016552175311,43.00106168099278,43.60712660485966,4804254
2021-08-02,44.03581237792969,44.2723254039318,43.41496497980973,43.607130756139824,2839811
2021-08-03,44.00625228881836,44.3462394479158,43.50366134951867,43.9766874525165,3687390
2021-08-04,44.10972595214844,44.47927794382565,43.68104428846306,44.1836352227007,3066580
2021-08-05,42.7202033996582,44.06537222624106,42.7202033996582,44.06537222624106,5121202
2021-08-06,43.17845153808594,43.32627289243086,42.69064304236817,42.86802923147364,2938943
2021-08-09,42.705421447753906,43.32626882211032,42.61672977126229,43.08975580516098,1935961
2021-08-10,44.05059051513672,44.05059051513672,43.42974313759243,43.57756447880919,4137144
2021-08-11,45.0557746887207,45.425326652019514,44.22797908037954,44.27232633098018,7548452
2021-08-12,45.58793258666992,45.75053636048277,45.26272785850209,45.4548936479972,3983740
2021-08-13,46.19399642944336,46.31225294752442,45.63227867342275,45.676623105542035,3858974
2021-08-16,45.262725830078125,45.89835284035845,45.055774812829476,45.88357324290859,3468723
2021-08-17,45.33663558959961,45.94270059213222,45.21837907250685,45.351418006668425,3422984
2021-08-18,44.93751907348633,45.51402206501293,44.37580131858053,45.38098313000354,3266256
