Price,Close,High,Low,Open,Volume
Ticker,DNB.OL,DNB.OL,DNB.OL,DNB.OL,DNB.OL
2021-05-28,127.69163513183594,127.72591685769117,126.14905162017618,126.66324612406277,870894
2021-05-31,126.49183654785156,127.79445832235571,126.49183654785155,127.52022546287473,668281
2021-06-01,127.58880615234375,128.0001554971601,126.83464999487548,126.83464999487548,848703
2021-06-02,128.89141845703125,129.54272938356735,128.00014591799118,128.00014591799118,1276742
2021-06-03,129.23423767089844,129.23423767089844,127.76021739392633,128.8914412845035,680311
2021-06-04,129.4741973876953,130.05694495905382,128.89143935502148,129.3370704661377,874147
2021-06-07,129.30279541015625,130.09122287944504,128.37724102332587,129.3370666782266,884348
2021-06-08,127.96589660644531,130.09123854855025,127.96589660644533,129.3370822564959,930773
2021-06-09,127.8287582397461,129.37134183184597,127.48596188594612,128.30867104280316,556883
2021-06-10,128.4800567626953,128.58290193565247,126.42327883931398,127.62306596128643,1836437
2021-06-11,128.00015258789062,129.2342215169198,127.72591969757933,129.06282334514668,1095698
2021-06-14,129.5770263671875,129.5770263671875,128.27440436072055,128.30867562827373,1856880
2021-06-15,128.82286071777344,129.71413329632145,128.27439494141845,129.71413329632145,1545160
2021-06-16,127.5202407836914,129.74841703394407,127.5202407836914,128.54862982226956,1134389
2021-06-17,128.8571319580078,130.94819155946612,127.89730646618102,128.58289909214682,1439885
2021-06-18,127.41741180419922,128.9257137031296,126.28617753401537,128.30867397539802,3822371
2021-06-21,129.5770263671875,129.5770263671875,125.292071791553,126.1490627066799,1071762
2021-06-22,129.98837280273438,130.39972212283917,129.1656532398972,129.85124590138565,1659835
2021-06-23,134.1019287109375,134.1019287109375,129.88552756790466,130.26260562381532,1763480
2021-06-24,134.2390594482422,135.4045650041159,133.51918498507126,134.34189417384593,1177581
2021-06-25,135.8844757080078,136.05587388888605,134.7875336271759,135.0617665320552,937322
2021-06-28,132.83358764648438,135.8501913878658,132.83358764648438,135.81592012139578,650006
2021-06-29,131.63380432128906,133.93054415412917,131.46240613857907,132.31939705212912,1287665
2021-06-30,128.61720275878906,131.73664137008296,128.03444474276984,131.633806643169,1955709
2021-07-01,127.8287582397461,129.67985645800303,127.10888380450325,129.33706010420306,1402190
2021-07-02,128.1029815673828,129.9883612184551,127.86301997272119,127.86301997272119,1128821
2021-07-05,132.045166015625,132.045166015625,128.27440594256663,128.27440594256663,1294237
2021-07-06,129.37135314941406,132.1480059503618,129.23423668816187,132.079442489078,789922
2021-07-07,128.44580078125,129.64558804596453,128.2058391437812,129.37134468009808,1138924
2021-07-08,126.62895965576172,128.89141748039305,126.62895965576173,128.89141748039305,1208214
2021-07-09,128.17153930664062,128.48005389600144,126.66323762207745,127.45166495725655,1211383
2021-07-12,131.2224578857422,131.2224578857422,127.86305734642156,128.82288308299434,899946
2021-07-13,128.61720275878906,132.25083592728282,127.52025018556996,131.35957373052173,1182599
2021-07-14,127.55451965332031,129.02853972440485,126.9717616933209,128.89142328126206,919961
2021-07-15,126.59468078613281,127.58879851455269,126.14904974059645,126.14904974059645,1033089
2021-07-16,123.98944091796875,127.1774427097246,123.98944091796875,126.69752992383752,1546478
2021-07-19,119.97872924804688,123.95516922395942,119.97872924804686,123.95516922395942,1151657
2021-07-20,119.97872924804688,120.97283662669626,119.46453469412667,120.21869089106896,1985276
2021-07-21,119.97872924804688,120.59575852822512,119.39597123574465,120.45864207277606,1769776
2021-07-22,119.97872924804688,121.41847818354942,119.87589452178882,120.321525617327,1688515
2021-07-23,119.97872924804688,120.59575852822512,119.32741823867761,120.18440916187794,925365
2021-07-26,120.66431427001953,120.66431427001953,119.12173070690848,119.97872157530351,967765
2021-07-27,120.52720642089844,120.80143933382095,119.80733194783299,120.6643228773597,1022291
2021-07-28,122.37830352783203,123.33812917489689,120.45864177238737,120.45864177238737,1079540
2021-07-29,124.74358367919922,125.42917634625864,123.44096179631187,123.44096179631187,820873
2021-07-30,124.1265640258789,124.74359328924176,122.72109685786943,124.09228229762215,1342921
2021-08-02,124.6407699584961,125.29208100964837,123.54381732190177,124.70932295996096,728643
2021-08-03,124.3322525024414,125.5320398449082,123.61237800469826,124.57220369414551,738311
2021-08-04,125.46347045898438,126.01194673904621,124.50364481486238,124.77787772423584,870045
2021-08-05,126.69754028320312,127.07461838198677,125.32635480494619,125.49775298972831,647749
2021-08-06,128.65145874023438,128.7543039162431,126.35472960109968,127.07460398790546,672326
2021-08-09,129.71412658691406,130.26260279621346,128.2058248573259,128.68573761747027,737488
2021-08-10,128.78858947753906,129.71413332130192,127.79447171974745,129.57701687718676,692961
2021-08-11,129.9541015625,129.98838329060314,128.1715563142832,128.78859603619577,935429
2021-08-12,129.33706665039062,130.74253386436885,129.06283373799658,129.98838812462776,640450
2021-08-13,129.50845336914062,130.15977478570903,128.891424140229,129.57701682182596,545471
2021-08-16,129.23423767089844,130.159792098691,128.6514796295008,128.92572301540608,588123
2021-08-17,128.9257049560547,129.47418118972158,127.52023787644399,129.19993784223112,735044
2021-08-18,129.5770263671875,129.85125927550214,128.4115208148779,128.44580254374594,567824
2021-08-19,128.03443908691406,130.15978068064706,127.28028291847603,128.06872081480935,817709
